0000 - *CLS             *CLS          :*CLS
0165 - ACTual?          ACT?          :SYSTem:LFRequency:ACTual?
0166 - LANGuage         LANG          :SYSTem:LANGuage
0167 - LANGuage?        LANG?         :SYSTem:LANGuage?
0168 - HELP?            HELP?         :SYSTem:HELP?
0169 - PRESet           PRES          :SYSTem:PRESet
016A - VERSion?         VERS?         :SYSTem:VERSion?
016B - ERRor?           ERR?          :SYSTem:ERRor?
016C - COUNt?           COUN?         :TRIGger:COUNt?
016D - COUNt            COUN          :TRIGger:COUNt
016E - DELay?           DEL?          :TRIGger:DELay?
016F - DELay            DEL           :TRIGger:DELay
0170 - AUTO?            AUTO?         :TRIGger:DELay:AUTO?
0171 - AUTO             AUTO          :TRIGger:DELay:AUTO
0172 - SLOPe?           SLOP?         :TRIGger:SLOPe?
0173 - SLOPe            SLOP          :TRIGger:SLOPe
0174 - SOURce?          SOUR?         :TRIGger:SOURce?
0175 - SOURce           SOUR          :TRIGger:SOURce
0176 - LEVel            LEV           :TRIGger:LEVel
0177 - LEVel?           LEV?          :TRIGger:LEVel?
0178 - ABORt            ABOR          :ABORt
0179 - STEP             STEP          :CALIbration:STEP
017A - STATus?          STAT?         :CALIbration:STATus?
017B - ZERO             ZERO          :CALIbration:VOLTage:DC:ZERO
017C - GAIN             GAIN          :CALIbration:VOLTage:DC:GAIN
017D - ZERO             ZERO          :CALIbration:VOLTage:AC:ZERO
017E - GAIN             GAIN          :CALIbration:VOLTage:AC:GAIN
017F - FREQuency        FREQ          :CALIbration:VOLTage:AC:FREQuency
0180 - ZERO             ZERO          :CALIbration:CURRent:DC:ZERO
0181 - GAIN             GAIN          :CALIbration:CURRent:DC:GAIN
0182 - ZERO             ZERO          :CALIbration:CURRent:AC:ZERO
0183 - GAIN             GAIN          :CALIbration:CURRent:AC:GAIN
0184 - FREQuency        FREQ          :CALIbration:CURRent:AC:FREQuency
0185 - ZERO             ZERO          :CALIbration:RESistance:ZERO
0186 - GAIN             GAIN          :CALIbration:RESistance:GAIN
0187 - ZERO             ZERO          :CALIbration:FRESistance:ZERO
0188 - GAIN             GAIN          :CALIbration:FRESistance:GAIN
0189 - GAIN             GAIN          :CALIbration:FREQuency:GAIN
